Year,Team,PlayerID,Rk,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
2023,Chiba Lotte Marines,ishika000shi,12,Shingo Ishikawa,30,44,118,112,10,39,6,0,2,10,0,0,6,20,0.348,0.381,0.455,0.837,51,2,0,0,0,1
2023,Chiba Lotte Marines,kakinu000tom,13,Tomoya Kakinuma,30,18,38,29,2,3,0,0,0,1,0,0,3,6,0.103,0.212,0.103,0.316,3,0,1,5,0,0
2023,Chiba Lotte Marines,kakuna001kat,14,Katsuya Kakunaka*,36,86,244,216,20,64,16,1,9,39,1,0,21,43,0.296,0.357,0.505,0.861,109,0,1,3,3,2
2023,Chiba Lotte Marines,matsuk000kou,15,Kou Matsukawa,19,9,18,16,1,3,0,0,0,1,0,0,1,4,0.188,0.235,0.188,0.423,3,1,0,1,0,0
2023,Chiba Lotte Marines,mima--000man,16,Manabu Mima*,36,18,2,2,0,1,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1,1,0,0,0,0,0
2023,Chiba Lotte Marines,nakamu000sho,17,Shogo Nakamura,31,137,584,508,61,112,23,0,11,48,3,1,52,89,0.221,0.3,0.331,0.63,168,20,7,13,4,2
2023,Chiba Lotte Marines,ogawa-001ryu,18,Ryusei Ogawa*,25,52,24,20,7,3,1,0,0,1,3,3,1,7,0.15,0.191,0.2,0.391,4,0,0,3,0,0
2023,Chiba Lotte Marines,ogino-001tak,19,Takashi Ogino,37,50,203,183,19,44,8,1,1,19,1,0,11,16,0.24,0.302,0.312,0.614,57,4,6,1,2,1
2023,Chiba Lotte Marines,ohshit000sei,20,Seiichiro Ohshita,25,23,28,22,2,5,0,0,1,2,0,1,2,7,0.227,0.37,0.364,0.734,8,0,3,1,0,0
2023,Chiba Lotte Marines,ojima-000kaz,21,Kazuya Ojima*,26,25,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
2023,Chiba Lotte Marines,oka---000hir,22,Hiromi Oka,31,109,372,319,50,90,16,3,7,33,15,4,37,56,0.282,0.371,0.417,0.788,133,5,8,8,0,0
2023,Chiba Lotte Marines,onuma-000ken,23,Kenta Onuma,25,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Chiba Lotte Marines,polanc001gre,24,Gregory Polanco*,31,125,497,447,43,108,15,0,26,75,0,0,47,92,0.242,0.312,0.45,0.762,201,3,0,0,3,5
2023,Chiba Lotte Marines,sasaki000rok,25,Roki Sasaki,21,15,4,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
2023,Chiba Lotte Marines,satoh-000tos,26,Toshiya Satoh*,25,103,278,239,19,52,12,1,4,22,0,2,22,45,0.218,0.29,0.326,0.616,78,4,3,12,2,0
2023,Chiba Lotte Marines,sugano000tsu,27,Tsuyoshi Sugano*,30,6,11,10,0,1,0,0,0,0,0,0,1,2,0.1,0.182,0.1,0.282,1,0,0,0,0,0
2023,Chiba Lotte Marines,tamura000tat,28,Tatsuhiro Tamura,29,78,214,181,6,30,3,0,2,19,0,1,13,38,0.166,0.226,0.216,0.442,39,3,2,15,3,0
2023,Chiba Lotte Marines,taneic000ats,29,Atsuki Taneichi,24,23,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2023,Chiba Lotte Marines,tomosu000ats,30,Atsuki Tomosugi,22,64,209,185,21,47,7,0,0,9,9,3,9,31,0.254,0.287,0.292,0.579,54,1,0,14,1,0
2023,Chiba Lotte Marines,ueda--000sho,31,Shota Ueda,25,4,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2023,Chiba Lotte Marines,wada--000kos,32,Koshiro Wada*,24,80,113,98,30,26,4,2,3,9,20,1,9,32,0.265,0.346,0.439,0.784,43,0,3,3,0,0
2023,Chiba Lotte Marines,yamagu000kok,33,Koki Yamaguchi,22,115,474,421,46,99,21,0,14,57,0,0,43,122,0.235,0.31,0.385,0.695,162,7,5,0,5,6
2023,Chiba Lotte Marines,yamamo001dai,34,Daito Yamamoto,20,2,7,7,0,1,0,0,0,0,0,0,0,4,0.143,0.143,0.143,0.286,1,1,0,0,0,0
2023,Chiba Lotte Marines,yasuda000his,35,Hisanori Yasuda*,24,122,472,416,33,99,24,0,9,43,2,0,49,95,0.238,0.318,0.361,0.678,150,10,2,0,5,2
