Year,Team,PlayerID,Rk,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
2023,Hokkaido Nippon Ham Fighters,miyani001nao,15,Naoki Miyanishi*,38,1,3,0.25,2.66,31,NA,NA,0,0,1,23.2,29,7,7,3,10,3,24,3,0,1,111,1.648,11,1.1,3.8,9.1,2.4
2023,Hokkaido Nippon Ham Fighters,miyauc000har,16,Haruki Miyauchi,27,1,0,1,6.48,15,NA,NA,0,0,0,16.2,23,12,12,1,5,1,18,0,0,0,78,1.68,12.4,0.5,2.7,9.7,3.6
2023,Hokkaido Nippon Ham Fighters,nabata000tsu,17,Tsubasa Nabatame,28,0,1,0,2.16,5,NA,NA,0,0,0,8.1,5,3,2,0,4,0,5,2,0,2,35,1.08,5.4,0,4.3,5.4,1.25
2023,Hokkaido Nippon Ham Fighters,nemoto000har,18,Haruka Nemoto*,20,3,1,0.75,2.88,5,NA,NA,0,0,0,25,12,8,8,2,14,0,23,3,0,0,105,1.04,4.3,0.7,5,8.3,1.64
2023,Hokkaido Nippon Ham Fighters,ponce-000cod,19,Cody Ponce,29,4,5,0.444,3.66,10,NA,NA,0,0,0,51.2,59,27,21,3,17,0,43,3,0,2,237,1.471,10.3,0.5,3,7.5,2.53
2023,Hokkaido Nippon Ham Fighters,rodrig001bry,20,Bryan Rodriguez,31,1,7,0.125,5.09,37,NA,NA,0,0,0,35.1,42,21,20,5,20,3,20,0,0,1,163,1.755,10.7,1.3,5.1,5.1,1
2023,Hokkaido Nippon Ham Fighters,saito-000kok,21,Kohki Saitoh*,26,1,0,1,10.8,4,NA,NA,0,0,0,3.1,5,4,4,2,0,0,3,0,0,0,15,1.5,13.5,5.4,0,8.1,NA
2023,Hokkaido Nippon Ham Fighters,sugiur000tos,22,Toshihiro Sugiura,31,0,1,0,2.78,24,NA,NA,0,0,0,22.2,22,9,7,4,10,1,22,2,0,1,99,1.412,8.7,1.6,4,8.7,2.2
2023,Hokkaido Nippon Ham Fighters,suzuki003ken,23,Kenya Suzuki,25,6,4,0.6,2.63,24,NA,NA,0,0,0,65,59,24,19,3,21,0,23,3,0,0,273,1.231,8.2,0.4,2.9,3.2,1.1
2023,Hokkaido Nippon Ham Fighters,tamai-000tai,24,Taisho Tamai,31,0,2,0,2.63,50,NA,NA,0,0,2,37.2,43,14,11,3,7,1,21,3,0,3,162,1.327,10.3,0.7,1.7,5,3
2023,Hokkaido Nippon Ham Fighters,tanaka000eit,25,Eito Tanaka,23,0,0,NA,5.4,2,NA,NA,0,0,0,8.1,8,5,5,1,7,0,4,1,0,0,41,1.8,8.6,1.1,7.6,4.3,0.57
2023,Hokkaido Nippon Ham Fighters,tanaka000sei,26,Seigi Tanaka,28,2,3,0.4,3.5,47,NA,NA,0,0,25,46.1,43,18,18,6,13,0,46,0,0,0,194,1.209,8.4,1.2,2.5,8.9,3.54
2023,Hokkaido Nippon Ham Fighters,tateno000kaz,27,Kazuaki Tateno,25,0,1,0,6,4,NA,NA,0,0,0,6,10,4,4,2,1,0,7,0,0,1,29,1.833,15,3,1.5,10.5,7
2023,Hokkaido Nippon Ham Fighters,uehara000ken,28,Kenta Uehara*,29,4,7,0.364,2.75,19,NA,NA,0,0,0,101.1,101,40,31,7,22,1,74,4,0,0,424,1.214,9,0.6,2,6.6,3.36
2023,Hokkaido Nippon Ham Fighters,uwasaw000nao,29,Naoyuki Uwasawa,29,9,9,0.5,2.96,24,NA,NA,2,2,0,170,152,66,56,14,41,0,124,5,1,5,696,1.135,8,0.7,2.2,6.6,3.02
2023,Hokkaido Nippon Ham Fighters,yamamo004tak,30,Takumi Yamamoto,23,0,0,NA,1.5,26,NA,NA,0,0,0,24,23,4,4,2,6,0,19,0,0,1,97,1.208,8.6,0.8,2.3,7.1,3.17
2023,Hokkaido Nippon Ham Fighters,yazawa000kot,31,Kota Yazawa*,22,0,0,NA,0,2,NA,NA,0,0,0,2,1,0,0,0,0,0,3,0,0,0,7,0.5,4.5,0,0,13.5,NA
2023,Hokkaido Nippon Ham Fighters,yoshid000kos,32,Kosei Yoshida,22,0,0,NA,9,3,NA,NA,0,0,0,3,5,3,3,1,2,1,2,0,0,0,15,2.333,15,3,6,6,1
