id,game,PA,AB,run,hit,single,double,triple,HR,RBI,steal,CS,BB,SO,AVG,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
allen-004joh,78,300,290,28,83,64,14,1,4,34,2,1,8,54,0.28620689655172415,0.3053691275167785,0.38275862068965516,0.6881277482064336,111,10,0,0,2,0
almont001eri,34,107,88,14,17,12,2,0,3,8,2,1,17,27,0.19318181818181818,0.32710280373831774,0.3181818181818182,0.6452846219201359,28,2,1,1,0,0
almont001zoi,271,1021,929,110,287,200,55,0,32,133,2,2,83,192,0.30893433799784714,0.36811023622047245,0.4714747039827772,0.8395849402032496,438,33,4,0,5,4
alou--001mat,262,978,913,85,258,191,51,2,14,75,9,10,43,77,0.28258488499452356,0.3128205128205128,0.3888280394304491,0.7016485522509619,355,12,4,15,3,4
altman001geo,935,3608,3183,452,985,606,163,11,205,656,31,24,353,360,0.30945648759032357,0.3819814762840303,0.5607917059377945,0.9427731822218248,1785,50,23,4,45,64
alvara001gia,47,78,71,2,9,8,1,0,0,2,0,0,0,28,0.1267605633802817,0.11538461538461539,0.14084507042253522,0.2562296858071506,10,3,0,7,0,0
alvare002dar,12,40,37,1,6,4,1,0,1,3,0,0,3,7,0.16216216216216217,0.225,0.2702702702702703,0.49527027027027026,10,1,0,0,0,0
amador001jap,222,832,761,77,190,118,18,2,52,126,1,1,67,191,0.24967148488830487,0.31204819277108437,0.4835742444152431,0.7956224371863274,368,32,2,0,2,2
amamot000hik,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
amano-001koh,94,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
amano-001yug,25,46,46,1,3,0,2,0,1,3,0,0,0,16,0.06521739130434782,0.06521739130434782,0.17391304347826086,0.2391304347826087,8,4,0,0,0,0
amaya-001soh,844,2198,1932,243,493,382,68,16,27,159,81,53,201,405,0.255175983436853,0.3284537968892955,0.34886128364389235,0.6773150805331878,674,16,24,29,12,4
amburg000tre,4,8,8,0,1,1,0,0,0,0,0,0,0,3,0.125,0.125,0.125,0.25,1,0,0,0,0,0
amemiy000kat,5,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ammann001eug,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
anabuk000yos,1166,3331,3079,352,814,544,162,19,89,404,25,13,198,570,0.2643715492042871,0.3103239479261278,0.416044170185125,0.7263681181112528,1281,93,13,13,28,11
anan--000jun,1415,3740,3426,227,746,603,95,14,34,254,43,34,221,360,0.2177466433158202,0.26264800861141013,0.28342089900758904,0.5460689076189992,971,87,9,60,24,5
anan--001tor,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
anders002les,173,597,541,52,156,108,25,1,22,82,2,2,46,85,0.28835489833641403,0.35510887772194305,0.4602587800369686,0.8153676577589116,249,9,10,0,0,2
anders003sco,57,95,85,3,7,5,1,0,1,4,0,1,2,42,0.08235294117647059,0.09473684210526316,0.12941176470588237,0.2241486068111455,11,0,0,8,0,0
anders012and,34,28,25,1,2,2,0,0,0,0,0,0,0,15,0.08,0.07142857142857142,0.08,0.1514285714285714,2,0,0,3,0,0
ando--000eij,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ando--000har,243,219,192,20,32,24,5,1,2,10,2,1,7,54,0.16666666666666666,0.17889908256880735,0.234375,0.4132740825688074,45,1,0,19,1,0
ando--000jun,1074,2564,2389,143,502,404,72,8,18,196,11,11,102,342,0.2101297614064462,0.2407987470634299,0.2695688572624529,0.5103676043258828,644,70,11,52,10,NA
ando--000man,36,48,44,8,10,9,1,0,0,2,1,1,2,11,0.22727272727272727,0.25,0.25,0.5,11,0,0,2,0,0
ando--000mot,73,91,85,5,7,6,1,0,0,2,0,0,2,33,0.08235294117647059,0.0989010989010989,0.09411764705882353,0.1930187459599224,8,3,0,4,0,0
ando--000shi,73,99,79,6,22,17,5,0,0,17,0,1,16,18,0.27848101265822783,0.3958333333333333,0.34177215189873417,0.7376054852320675,27,6,0,1,3,0
ando--000tos,39,9,9,0,1,1,0,0,0,0,0,0,0,3,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.2222222222222222,1,0,0,0,0,0
ando--001mot,922,2327,2064,223,457,362,54,8,33,138,56,41,134,285,0.22141472868217055,0.2657192075796727,0.30329457364341084,0.5690137812230835,626,52,26,98,5,6
andoh-001yuy,272,258,227,10,26,25,1,0,0,5,0,0,3,109,0.1145374449339207,0.11627906976744186,0.11894273127753303,0.2352218010449749,27,1,1,27,0,0
andrew001mic,123,422,389,31,90,65,12,1,12,40,2,1,28,43,0.23136246786632392,0.28095238095238095,0.35989717223650386,0.6408495531888848,140,11,0,3,2,0
andrie001mat,5,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
aniya-000soh,655,585,541,17,72,63,9,0,0,18,2,0,14,155,0.133086876155268,0.15042735042735042,0.14972273567467653,0.300150086102027,81,10,2,28,0,0
ano---000koj,89,163,148,12,33,27,1,0,5,14,1,0,11,18,0.22297297297297297,0.29012345679012347,0.3310810810810811,0.6212045378712046,49,2,3,0,1,1
anraku000tom,10,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
anthon001eri,44,169,151,20,37,19,6,0,12,31,0,1,18,53,0.24503311258278146,0.3254437869822485,0.5231788079470199,0.8486225949292684,79,5,0,0,0,0
aoike-000yos,159,436,395,34,82,66,9,0,7,28,6,1,34,34,0.20759493670886076,0.268348623853211,0.28354430379746837,0.5518929276506794,112,8,1,6,NA,NA
aoki--000hir,52,34,32,1,2,2,0,0,0,0,0,0,1,15,0.0625,0.08823529411764706,0.0625,0.15073529411764708,2,0,0,1,0,0
aoki--000kat,10,13,13,0,2,2,0,0,0,0,0,0,0,3,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.3076923076923077,2,1,0,0,0,0
aoki--000min,558,635,577,137,132,107,17,6,2,26,79,32,33,119,0.22876949740034663,0.26582278481012656,0.28942807625649913,0.5552508610666257,167,9,3,19,3,1
aoki--000tsu,172,300,256,23,38,24,11,2,1,13,2,1,34,54,0.1484375,0.24749163879598662,0.21875,0.4662416387959866,56,6,2,7,1,0
aoki--001hay,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aoki--001nor,1652,7009,6126,1006,1929,1432,323,29,145,658,175,59,701,762,0.3148873653281097,0.3944691216506663,0.44809010773751223,0.8425592293881785,2745,107,123,29,30,46
aoki--001tak,139,78,69,3,7,6,1,0,0,1,1,0,1,23,0.10144927536231885,0.10256410256410256,0.11594202898550725,0.2185061315496098,8,3,0,8,0,0
aoki--002tak,19,11,9,0,0,0,0,0,0,0,0,0,1,4,0,0.09090909090909091,0,0.09090909090909091,0,1,0,1,0,0
aomats001kei,26,44,42,4,9,5,3,0,1,5,0,0,0,12,0.21428571428571427,0.25,0.35714285714285715,0.6071428571428572,15,1,2,0,0,0
aono--000shu,1055,3457,3014,332,785,603,126,11,45,262,31,20,240,353,0.2604512276045123,0.30834305717619603,0.3543463835434638,0.6626894407196599,1068,72,32,142,29,11
aono--001tak,175,521,474,59,117,75,20,5,17,58,3,2,23,116,0.2468354430379747,0.28433268858800775,0.4177215189873418,0.7020542075753495,198,12,7,13,4,0
aoshim000ken,96,91,82,13,15,10,3,0,2,5,0,1,8,28,0.18292682926829268,0.26373626373626374,0.2926829268292683,0.556419190565532,24,1,1,0,0,2
aota--000nob,1095,4441,4109,553,1153,766,176,14,197,659,70,37,304,408,0.2806035531759552,0.33235559566787004,0.47408128498418106,0.8064368806520511,1948,118,16,3,NA,NA
aoyagi000koy,142,273,238,7,24,20,4,0,0,11,0,0,4,117,0.10084033613445378,0.10661764705882353,0.11764705882352941,0.22426470588235292,28,5,1,29,1,0
aoyama000hir,87,52,43,1,4,3,1,0,0,0,0,0,4,18,0.09302325581395349,0.17307692307692307,0.11627906976744186,0.2893559928443649,5,0,1,4,0,0
aoyama000his,161,90,83,2,5,3,2,0,0,2,0,0,1,49,0.060240963855421686,0.06666666666666667,0.08433734939759036,0.151004016064257,7,2,0,6,0,0
aoyama000kat,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
aoyama001hir,347,813,744,74,155,127,17,3,8,43,30,10,49,121,0.20833333333333334,0.2589395807644883,0.271505376344086,0.5304449571085743,202,13,6,12,NA,NA
aoyama001koj,69,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
aoyama001mic,140,141,123,21,19,11,3,2,3,15,3,1,8,28,0.15447154471544716,0.21428571428571427,0.2845528455284553,0.4988385598141696,35,2,3,6,1,0
aoyana000sus,596,1346,1196,110,278,182,68,2,26,140,1,2,93,324,0.23244147157190637,0.2875280059746079,0.35785953177257523,0.6453875377471832,428,23,14,36,7,2
aquino000ari,20,68,65,2,10,5,4,0,1,6,0,1,2,32,0.15384615384615385,0.1791044776119403,0.26153846153846155,0.44064293915040187,17,0,0,0,1,0
arai--000hir,2076,7963,7011,933,2038,1547,338,65,88,680,165,59,544,422,0.2906860647553844,0.332193515704154,0.3950934246184567,0.7272869403226108,2770,87,41,300,67,24
arai--000kat,14,7,7,0,1,1,0,0,0,0,0,0,0,4,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857,1,0,0,0,0,0
arai--000kaz,48,92,86,7,11,7,4,0,0,1,3,0,6,12,0.12790697674418605,0.18478260869565216,0.1744186046511628,0.359201213346815,15,3,0,0,NA,NA
arai--000mas,571,1080,993,102,229,189,29,4,7,64,15,16,35,120,0.23061430010070494,0.2586046511627907,0.2890231621349446,0.5476278132977352,287,16,14,33,5,1
arai--000shi,245,513,473,33,122,94,24,1,3,45,4,4,32,89,0.25792811839323465,0.3104125736738703,0.33192389006342493,0.6423364637372952,157,11,4,0,4,2
arai--000sho,87,60,57,9,9,8,1,0,0,2,2,2,1,8,0.15789473684210525,0.1694915254237288,0.17543859649122806,0.34493012191495687,10,3,0,1,1,0
arai--000tat,271,710,656,52,139,113,17,8,1,44,9,7,40,96,0.21189024390243902,0.2563739376770538,0.26676829268292684,0.5231422303599806,175,16,2,8,NA,NA
